StackTool_ENG
"mysql, javascript, python"
"python, sql"
"hadoop, ios, mysql, spark, java, kotlin, python, sql, tableau, aws, emr, etl, spring, framework"
"javascript, typescript, react.js, react, native, next.js"
"linux, node.js, python"
"framer, github, jira, slack, react, node.js, python, typescript, aws, docker, opencv, numpy, react, native, figma, notion, nest.js"
"android, kotlin, android, studio, flutter, restful, api"
"android, kotlin, android, studio, flutter, restful, api"
"android, kotlin, android, studio, flutter, restful, api"
"react, java, python, jquery, nodejs"
"data, analysis, scm, product, management"
"graphql, mysql, javascript, node.js, python, typescript, aws, nest.js"
"git, flask, google, cloud, platform, redis, python, aws, docker, postgresql, kubernetes"
"git, flask, google, cloud, platform, redis, python, aws, docker, postgresql, kubernetes"
python
"django, flask, linux, mysql, oracle, nosql"
"git, react, css, javascript, typescript, aws"
"azure, .net, python, power, bi, etl, ssis, ssas"
"hadoop, mongodb, mysql, spark, python, tableau, jenkins, postgresql, neo4j"
"git, node.js, python, sql, docker, postgresql"
"git, jira, vuejs, java, kotlin, docker, jpa, oauth, spring, boot, kubernetes, restful, api"
"gitlab, css, typescript, react.js, next.js"
java
aws
"linux, python"
"linux, python"
"github, mongodb, python, aws"
"cad, revit, 3d, bim, 3d, photoshop, elements"
"linux, oracle"
"c++, python, sql"
"git, mysql, redis, node.js, aws, gcp"
"mysql, oracle, react, java, javascript, kotlin, node.js, python, typescript, nosql, docker, rdbms, elasticsearch, spring, framework"
"react, node.js, python, zapier, vue.js"
"confluence, github, jira, slack, azure, html, python, scala, sql, aws, etl, gcp, gcps, react.js, next.js"
"confluence, git, objectivec, python, swift, mvvm, apple, software, react, native, figma, restful, api"
"git, linux, mysql, redis, java, python, sql, docker, spring, framework"
"github, azure, kotlin, python, aws, jenkins, etl, spring, framework, gcp, golang, spring, boot, kubernetes"
"github, jira, mysql, html, javascript, python, sql, aws"
"django, aws, dbt, fastapi"
"confluence, jira, java, kotlin, python"
""
"c#, delphi, kotlin, mfc"
"sql, mysql, mongodb"
