req,Kor,Eng,label
학사 수준 이상의 통계 관련 지식 보유자 2년 이상의 관련 업무 경험자 데이터 분석의 목적과 그를 통해 만들어 낼 수 있는 가치에 대해 끊임없이 고민하시는 분 자유도가 높은 환경에서 주도적으로 데이터 파이프라인을 구축하고 새로운 데이터를 발굴하며 그에 대한 여러가지 분석을 시도하고 싶으신 분 각각의 데이터가 어떤 의미를 갖는지 이해하기 위해 스스로 공부하는 것을 즐기시는 분 원본 데이터부터 꼼꼼하게 들여다 보고 확장성 있는 데이터 모형을 개발하시는 분 SQL Python 등을 사용한 데이터 처리에 능숙하신 분 PM 디자이너 개발자 등 다양한 팀원들과의 원활한 커뮤니케이션이 가능하신 분,"학사, 수준, 이상, 통계, 관련, 지식, 보유, 이상, 관련, 업무, 경험, 데이터, 분석, 목적, 그, 통해, 낼, 수, 가치, 대해, 고민, 분, 자유도, 환경, 주도, 데이터, 파이프라인, 구축, 데이터, 발굴, 그, 대한, 여러가지, 분석, 시도, 분, 각각, 데이터, 의미, 이해, 위해, 스스로, 공부, 것, 분, 원본, 데이터, 보고, 확장, 데이터, 모형, 개발, 분, 등, 사용, 데이터, 처리, 분, 디자이너, 개발자, 등, 팀원, 커뮤니케이션, 분","sql, python, pm",데이터 애널리스트
이런 분이 필요해요 이미지 데이터에 대한 기초 지식 알는 사람 Python을 활용하여 머신러닝 딥러닝 프로젝트 경험자 OpenCV Numpy Tensorflow 및 Pytorch 사용 경험 CNN 및 transformer 사용 경험 최신 기술에 관심이 많은 분 주도적으로 일을 만들고 책임감 있게 리드하시는 분 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 업무에 꼭 필요한 기술 스택 입니다 Python OpenCV Numpy Pytorch or Tensorflow,"분, 이미지, 데이터, 대한, 기초, 지식, 사람, 활용, 머신, 러닝, 딥, 러닝, 프로젝트, 경험, 및, 사용, 경험, 및, 사용, 경험, 최신, 기술, 관심, 분, 주도, 일, 책임감, 리드, 분, 다른, 직, 문제, 정의, 해결, 책, 수, 분, 업무, 꼭, 기술, 스택","python, opencv, numpy, tensorflow, pytorch, cnn, transformer, python, opencv, numpy, pytorch, or, tensorflow",데이터 애널리스트
석사 이상 또는 2년 이상의 경력을 보유하신 분 Remote Sensing Signal Processing Earth Science 등 관련 전공 및 학위 또는 그에 준하는 전문 지식을 보유하신 분 SAR 영상 신호처리 관련 논문의 정확한 이해 및 구현이 가능하신 분 Python Matlab 등 신호처리를 위한 언어 및 라이브러리 사용이 가능하신 분,"석사, 이상, 이상, 경력, 보유, 분, 등, 관련, 전공, 및, 학위, 그, 준, 전문, 지식, 보유, 분, 영상, 신호처리, 관련, 논문, 이해, 및, 구현, 분, 등, 신호처리, 위, 언어, 및, 라이브러리, 사용, 분","remote, sensing, signal, processing, earth, science, sar, python, matlab",데이터 애널리스트
이런 분이 필요해요 이미지 데이터에 대한 기초 지식 알는 사람 Python을 활용하여 머신러닝 딥러닝 프로젝트 경험자 OpenCV Numpy Tensorflow 및 Pytorch 사용 경험 CNN 및 transformer 사용 경험 최신 기술에 관심이 많은 분 주도적으로 일을 만들고 책임감 있게 리드하시는 분 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 업무에 꼭 필요한 기술 스택 입니다 Python OpenCV Numpy Pytorch or Tensorflow,"분, 이미지, 데이터, 대한, 기초, 지식, 사람, 활용, 머신, 러닝, 딥, 러닝, 프로젝트, 경험, 및, 사용, 경험, 및, 사용, 경험, 최신, 기술, 관심, 분, 주도, 일, 책임감, 리드, 분, 다른, 직, 문제, 정의, 해결, 책, 수, 분, 업무, 꼭, 기술, 스택","python, opencv, numpy, tensorflow, pytorch, cnn, transformer, python, opencv, numpy, pytorch, or, tensorflow",데이터 애널리스트
이런 경험이나 성향 역량을 가진 분이라면 더욱 좋을 것 같아요 데이터 레이블링 라벨링 업무 경험자 데이터 검수 경험자 의료 데이터 관련 업무 수행자,"경험, 성향, 역량, 더욱, 것, 데이터, 레이블, 링, 라벨, 링, 업무, 경험, 데이터, 검수, 경험, 의료, 데이터, 관련, 업무, 수행자",,데이터 애널리스트
모요와 함께해요 이런 분을 찾고있어요 3년 이상의 프로덕트 데이터 분석 업무 경험이 있는 분 데이터를 전처리하고 시각화하는데 필요한 SQL 역량을 갖춘 분 데이터를 기반으로 다양한 가설을 세우고 분석해 본 분 주어진 분석을 하기보다 주도적으로 데이터를 보고 인사이트를 도출할 수 있는 분 실험 결과를 비롯한 데이터 인사이트를 동료들에게 설명해 본 분,"요, 해, 분, 이상, 프로, 덕트, 데이터, 분석, 업무, 경험, 분, 데이터, 처리, 시각, 역량, 분, 데이터, 기반, 가설, 분석, 분, 분석, 주도, 데이터, 보고, 인사이트, 도출, 수, 분, 실험, 결과, 비롯, 데이터, 인사이트, 동료, 설명, 분",sql,데이터 애널리스트
이런 분이 필요해요 Python을 활용하여 머신러닝 딥러닝 프로젝트 Prediction Anomaly detection Classification 경험자 Tensorflow 또는 Pytorch 사용 경험 Pandas Matplotlib등의 패키지를 활용한 데이터 정제 전처리 분석 모델링 시각화 경험을 보유하신 분 최신 기술에 관심이 많은 분 주도적으로 일을 만들고 책임감 있게 리드하시는 분 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분 업무에 꼭 필요한 기술 스택 입니다 Tensorflow Pytorch,"분, 활용, 머신, 러닝, 딥, 러닝, 프로젝트, 경험, 사용, 경험, 등, 패키지, 활용, 데이터, 정제, 처리, 분석, 모델링, 시각, 경험, 보유, 분, 최신, 기술, 관심, 분, 주도, 일, 책임감, 리드, 분, 다른, 직, 문제, 정의, 해결, 책, 수, 분, 업무, 꼭, 기술, 스택","python, prediction, anomaly, detection, classification, tensorflow, pytorch, pandas, matplotlib, tensorflow, pytorch",데이터 애널리스트
기초통계학 지식 및 정량 데이터 분석 경험 분석과 데이터 전처리 과정에서 필요한 SQL Python 사용에 능숙하신 분 이커머스와 SaaS의 주요 지표와 분석 방법론에 대한 높은 이해도 GMV MRR LTV Cohort Retention 등 비즈니스적인 관점에서 데이터를 이해하고 크고 작은 의사결정과 action item 도출까지 논리적이고 분석적으로 사고하실 수 있는 분 데이터 비전문가에게도 필요한 내용을 쉽게 이해시키고 전달할 수 있는 커뮤니케이션 능력,"기초, 통계학, 지식, 및, 정량, 데이터, 분석, 경험, 분석, 데이터, 처리, 과정, 사용, 분, 이커머스, 의, 주요, 지표, 분석, 방법론, 대한, 이해도, 등, 비즈니스, 관점, 데이터, 이해, 의사결정, 도출, 논리, 분석, 사고, 수, 분, 데이터, 비전문가, 내용, 이해, 전달, 수, 커뮤니케이션, 능력","sql, python, saas, gmv, mrr, ltv, cohort, retention, action, item",데이터 애널리스트
Front end Redwoodjs Storybook GraphQL TailwindCSS App Flutter Fastlane Back end Redwoodjs serverless AWS Lambda 데이터베이스 PostgreSQL Amazon RDS 사내 시스템 python fastAPI,"데이터베이스, 사내, 시스템","front, end, redwoodjs, storybook, graphql, tailwindcss, app, flutter, fastlane, back, end, redwoodjs, serverless, aws, lambda, postgresql, amazon, rds, python, fastapi",데이터 애널리스트
이런 분을 찾습니다 데이터 분석 방법에 대한 높은 수준의 이해도 보유자 모바일 서비스 운영 경력자 모바일 서비스 데이터 분석 고객생애가치 리텐션 코호트 분석 등 이력 보유자 프로덕트 지표 설정 및 성장 가설 수립 이력 보유자,"분, 데이터, 분석, 방법, 대한, 수준, 이해도, 보유, 모바일, 서비스, 운영, 경력, 모바일, 서비스, 데이터, 분석, 고객, 생애, 가치, 리, 텐션, 코호트, 분석, 등, 이력, 보유, 프로, 덕트, 지표, 설정, 및, 성장, 가설, 수립, 이력, 보유",,데이터 애널리스트
